,cik,datadate,splticrm
30570,320193.0,19970131,B
30571,320193.0,19970228,B
30572,320193.0,19970331,B
30573,320193.0,19970430,B
30574,320193.0,19970531,B
30575,320193.0,19970630,B
30576,320193.0,19970731,B
30577,320193.0,19970831,B
30578,320193.0,19970930,B
30579,320193.0,19971031,B-
30580,320193.0,19971130,B-
30581,320193.0,19971231,B-
30582,320193.0,19980131,B-
30583,320193.0,19980228,B-
30584,320193.0,19980331,B-
30585,320193.0,19980430,B-
30586,320193.0,19980531,B-
30587,320193.0,19980630,B-
30588,320193.0,19980731,B-
30589,320193.0,19980831,B-
30590,320193.0,19980930,B-
30591,320193.0,19981031,B-
30592,320193.0,19981130,B+
30593,320193.0,19981231,B+
30594,320193.0,19990131,B+
30595,320193.0,19990228,B+
30596,320193.0,19990331,B+
30597,320193.0,19990430,B+
30598,320193.0,19990531,B+
30599,320193.0,19990630,B+
30600,320193.0,19990731,B+
30601,320193.0,19990831,BB-
30602,320193.0,19990930,BB-
30603,320193.0,19991031,BB-
30604,320193.0,19991130,BB-
30605,320193.0,19991231,BB-
30606,320193.0,20000131,BB-
30607,320193.0,20000229,BB-
30608,320193.0,20000331,BB-
30609,320193.0,20000430,BB-
30610,320193.0,20000531,BB-
30611,320193.0,20000630,BB
30612,320193.0,20000731,BB
30613,320193.0,20000831,BB
30614,320193.0,20000930,BB
30615,320193.0,20001031,BB
30616,320193.0,20001130,BB
30617,320193.0,20001231,BB
30618,320193.0,20010131,BB
30619,320193.0,20010228,BB
30620,320193.0,20010331,BB
30621,320193.0,20010430,BB
30622,320193.0,20010531,BB
30623,320193.0,20010630,BB
30624,320193.0,20010731,BB
30625,320193.0,20010831,BB
30626,320193.0,20010930,BB
30627,320193.0,20011031,BB
30628,320193.0,20011130,BB
30629,320193.0,20011231,BB
30630,320193.0,20020131,BB
30631,320193.0,20020228,BB
30632,320193.0,20020331,BB
30633,320193.0,20020430,BB
30634,320193.0,20020531,BB
30635,320193.0,20020630,BB
30636,320193.0,20020731,BB
30637,320193.0,20020831,BB
30638,320193.0,20020930,BB
30639,320193.0,20021031,BB
30640,320193.0,20021130,BB
