year,month,splticrm,nextmonth_return
1998,4,A,172
1998,4,A+,102
1998,4,A-,145
1998,4,AA,39
1998,4,AA+,13
1998,4,AA-,76
1998,4,AAA,24
1998,4,B,82
1998,4,B+,173
1998,4,B-,33
1998,4,BB,126
1998,4,BB+,113
1998,4,BB-,173
1998,4,BBB,174
1998,4,BBB+,171
1998,4,BBB-,162
1998,4,CC,1
1998,4,CCC,7
1998,4,CCC+,10
1998,4,CCC-,1
1998,4,D,3
1998,4,N.M.,8
1998,5,A,169
1998,5,A+,104
1998,5,A-,150
1998,5,AA,39
1998,5,AA+,13
1998,5,AA-,76
1998,5,AAA,24
1998,5,B,83
1998,5,B+,173
1998,5,B-,34
1998,5,BB,128
1998,5,BB+,117
1998,5,BB-,174
1998,5,BBB,176
1998,5,BBB+,169
1998,5,BBB-,154
1998,5,CC,1
1998,5,CCC,6
1998,5,CCC+,15
1998,5,CCC-,1
1998,5,D,2
1998,5,N.M.,8
1998,6,A,172
1998,6,A+,107
1998,6,A-,149
1998,6,AA,40
1998,6,AA+,12
1998,6,AA-,76
1998,6,AAA,24
1998,6,B,91
1998,6,B+,165
1998,6,B-,35
1998,6,BB,126
1998,6,BB+,115
1998,6,BB-,176
1998,6,BBB,174
1998,6,BBB+,168
1998,6,BBB-,161
1998,6,CC,1
1998,6,CCC,7
1998,6,CCC+,13
1998,6,CCC-,1
1998,6,D,3
1998,6,N.M.,10
1998,7,A,168
1998,7,A+,105
1998,7,A-,146
1998,7,AA,42
1998,7,AA+,11
1998,7,AA-,77
1998,7,AAA,21
1998,7,B,84
1998,7,B+,169
1998,7,B-,38
1998,7,BB,121
1998,7,BB+,105
1998,7,BB-,159
1998,7,BBB,169
1998,7,BBB+,173
1998,7,BBB-,162
1998,7,CC,1
1998,7,CCC,4
1998,7,CCC+,15
1998,7,CCC-,1
1998,7,D,4
1998,7,N.M.,6
1998,8,A,165
1998,8,A+,101
1998,8,A-,142
1998,8,AA,41
1998,8,AA+,12
1998,8,AA-,77
1998,8,AAA,21
1998,8,B,88
1998,8,B+,167
1998,8,B-,37
1998,8,BB,117
1998,8,BB+,100
1998,8,BB-,157
1998,8,BBB,171
1998,8,BBB+,175
1998,8,BBB-,164
1998,8,CC,2
1998,8,CCC,6
1998,8,CCC+,17
1998,8,D,3
1998,8,N.M.,6
1998,9,A,174
1998,9,A+,116
1998,9,A-,151
1998,9,AA,44
1998,9,AA+,11
1998,9,AA-,82
1998,9,AAA,27
1998,9,B,100
1998,9,B+,186
