year,month,splticrm,nextmonth_return
1998,4,A,-1.6965709302325584
1998,4,A+,-0.6358862745098043
1998,4,A-,-2.969055862068965
1998,4,AA,-0.7997076923076923
1998,4,AA+,-2.517646153846154
1998,4,AA-,-1.154301315789473
1998,4,AAA,-0.23779166666666685
1998,4,B,-4.125253658536583
1998,4,B+,-4.748309248554912
1998,4,B-,-10.714533333333332
1998,4,BB,-5.892544444444444
1998,4,BB+,-5.921446017699116
1998,4,BB-,-5.641871098265894
1998,4,BBB,-2.9168609195402317
1998,4,BBB+,-1.731257894736841
1998,4,BBB-,-3.8220253086419747
1998,4,CC,-16.6667
1998,4,CCC,-2.174071428571428
1998,4,CCC+,-3.30543
1998,4,CCC-,-88.3871
1998,4,D,58.45236666666667
1998,4,N.M.,-13.577837500000001
1998,5,A,0.8097017751479291
1998,5,A+,3.1080951923076894
1998,5,A-,-1.2146620000000006
1998,5,AA,0.6731076923076921
1998,5,AA+,2.542092307692308
1998,5,AA-,0.5469407894736844
1998,5,AAA,6.798645833333334
1998,5,B,-1.367662650602409
1998,5,B+,-3.1011306358381523
1998,5,B-,-2.0010352941176466
1998,5,BB,-3.670121093749999
1998,5,BB+,-0.024810256410256495
1998,5,BB-,1.0487137931034491
1998,5,BBB,-0.7395295454545461
1998,5,BBB+,-2.8220934911242597
1998,5,BBB-,-0.24521363636363624
1998,5,CC,-40.0
1998,5,CCC,-7.425
1998,5,CCC+,-26.747613333333334
1998,5,CCC-,-33.3333
1998,5,D,-2.7349500000000004
1998,5,N.M.,-20.884249999999998
1998,6,A,-3.3992523255813945
1998,6,A+,-2.5302074766355154
1998,6,A-,-0.26267046979865766
1998,6,AA,-0.5808274999999996
1998,6,AA+,-2.2434500000000006
1998,6,AA-,-2.7631263157894725
1998,6,AAA,-1.6671999999999996
1998,6,B,-6.5274285714285725
1998,6,B+,-9.700487878787879
1998,6,B-,-3.9392657142857153
1998,6,BB,-7.422536507936507
1998,6,BB+,-6.36678695652174
1998,6,BB-,-9.53184715909091
1998,6,BBB,-5.370624137931035
1998,6,BBB+,-5.222306547619043
1998,6,BBB-,-3.8109459627329194
1998,6,CC,-27.7778
1998,6,CCC,-14.815057142857142
1998,6,CCC+,-16.81407692307692
1998,6,CCC-,90.0
1998,6,D,5.081
1998,6,N.M.,49.20872999999999
1998,7,A,-13.156213690476187
1998,7,A+,-8.610553333333332
1998,7,A-,-14.861597260273973
1998,7,AA,-13.806026190476192
1998,7,AA+,-8.769054545454548
1998,7,AA-,-12.347742857142855
1998,7,AAA,-9.940271428571428
1998,7,B,-27.941375000000004
1998,7,B+,-23.29214556213018
1998,7,B-,-34.16500263157894
1998,7,BB,-22.343760330578505
1998,7,BB+,-20.35170666666667
1998,7,BB-,-24.269316981132093
1998,7,BBB,-16.753508875739648
1998,7,BBB+,-14.63774913294797
1998,7,BBB-,-17.18425802469135
1998,7,CC,-53.8462
1998,7,CCC,-17.521324999999997
1998,7,CCC+,-31.95604666666667
1998,7,CCC-,-31.5789
1998,7,D,-15.3027
1998,7,N.M.,-40.604283333333335
1998,8,A,3.037261818181818
1998,8,A+,2.2704475247524747
1998,8,A-,7.223133802816901
1998,8,AA,2.8318195121951226
1998,8,AA+,2.561575000000001
1998,8,AA-,4.015896103896103
1998,8,AAA,4.812247619047618
1998,8,B,4.452162499999998
1998,8,B+,1.1287598802395207
1998,8,B-,12.092329729729729
1998,8,BB,2.4630641025641036
1998,8,BB+,2.7792670000000004
1998,8,BB-,0.9845770700636957
1998,8,BBB,6.8606643274853845
1998,8,BBB+,7.782453714285712
1998,8,BBB-,4.912398170731711
1998,8,CC,-39.08045
1998,8,CCC,-11.668716666666667
1998,8,CCC+,-2.1583058823529413
1998,8,D,-13.625800000000003
1998,8,N.M.,5.617500000000001
1998,9,A,11.21342356321839
1998,9,A+,5.769353448275865
1998,9,A-,7.70401920529801
1998,9,AA,8.204443181818181
1998,9,AA+,9.72579090909091
1998,9,AA-,7.8509146341463385
1998,9,AAA,7.501077777777778
1998,9,B,0.5309929999999994
1998,9,B+,11.945203763440844
1998,9,B-,-6.09878918918919
1998,9,BB,7.824274436090224
1998,9,BB+,5.9326811965811945
1998,9,BB-,5.755451351351353
1998,9,BBB,6.250617948717952
1998,9,BBB+,6.94851290322581
1998,9,BBB-,5.23110292397661
1998,9,CC,139.1865
1998,9,CCC,-11.00455
1998,9,CCC+,-2.8309500000000005
1998,9,CCC-,-30.7692
1998,9,D,-37.5
1998,10,A,4.212686470588236
1998,10,A+,4.855771428571428
1998,10,A-,2.665481045751634
1998,10,AA,7.585962790697674
1998,10,AA+,1.19063
1998,10,AA-,4.0703475
1998,10,AAA,6.341259259259259
1998,10,B,3.9570739999999995
1998,10,B+,2.4525167567567574
1998,10,B-,2.607202702702703
1998,10,BB,3.293756390977443
1998,10,BB+,3.699616964285714
1998,10,BB-,5.224537016574585
1998,10,BBB,2.099371428571429
1998,10,BBB+,2.589226630434782
1998,10,BBB-,5.289397752808993
1998,10,CC,34.0349
1998,10,CCC,-27.815642857142855
1998,10,CCC+,0.9488500000000009
1998,10,CCC-,-60.8889
1998,10,D,46.6667
1998,11,A,5.159907647058824
1998,11,A+,2.2971677419354837
1998,11,A-,2.593878846153847
1998,11,AA,3.695016279069767
1998,11,AA+,6.8623400000000006
1998,11,AA-,0.9888173333333329
1998,11,AAA,3.4138555555555548
1998,11,B,4.500794565217391
1998,11,B+,0.830319680851064
1998,11,B-,-12.773016216216217
1998,11,BB,1.899379389312977
1998,11,BB+,1.9190162162162157
1998,11,BB-,2.6759572972972974
1998,11,BBB,1.1858444444444443
1998,11,BBB+,3.5064576086956536
1998,11,BBB-,0.6247605714285712
1998,11,CC,-30.1086
1998,11,CCC,-5.1421874999999995
1998,11,CCC+,-16.410535294117647
1998,11,CCC-,-76.0
1998,11,D,18.1818
1998,12,A,-1.5982023255813957
1998,12,A+,-1.5201886178861796
1998,12,A-,-0.6146684210526306
1998,12,AA,3.5758682926829275
1998,12,AA+,1.8412399999999998
1998,12,AA-,0.8280891891891891
1998,12,AAA,-3.0824285714285713
1998,12,B,9.2406
1998,12,B+,1.8120936842105262
1998,12,B-,8.953429411764706
1998,12,BB,-1.6278755725190837
1998,12,BB+,1.404823214285715
1998,12,BB-,3.3431641304347806
1998,12,BBB,-2.4149121212121223
1998,12,BBB+,-1.6123877005347602
1998,12,BBB-,-0.03426685082872913
1998,12,CC,6.7112
1998,12,CCC,8.57097142857143
1998,12,CCC+,55.019699999999986
1998,12,CCC-,50.0
1998,12,D,-15.3846
1999,1,A,-2.2158183908045976
1999,1,A+,-2.5130840336134455
1999,1,A-,-1.662237908496732
1999,1,AA,-3.9283512195121943
1999,1,AA+,-2.7428000000000003
1999,1,AA-,-1.0946311688311687
1999,1,AAA,0.4177959999999999
1999,1,B,-7.597448888888888
1999,1,B+,-9.779379787234038
1999,1,B-,-8.605093333333336
1999,1,BB,-6.373807633587789
1999,1,BB+,-4.953287499999999
1999,1,BB-,-8.579402732240439
1999,1,BBB,-3.4353838383838395
1999,1,BBB+,-1.6306880434782598
1999,1,BBB-,-1.9987552486187845
1999,1,CC,-3.121233333333334
1999,1,CCC,22.365159999999996
1999,1,CCC+,-7.57928
1999,1,D,-9.602131250000001
1999,2,A,2.0065497076023395
1999,2,A+,0.19587083333333338
1999,2,A-,2.8892614379084973
1999,2,AA,3.399587804878049
1999,2,AA+,-0.40983076923076917
1999,2,AA-,2.1690166666666664
1999,2,AAA,4.892536000000001
1999,2,B,2.7438244680851063
1999,2,B+,-1.0755081081081086
1999,2,B-,3.9352000000000005
1999,2,BB,6.120618181818181
1999,2,BB+,5.7734026548672555
1999,2,BB-,2.5849385869565213
1999,2,BBB,2.3595391959798993
1999,2,BBB+,3.220351851851852
1999,2,BBB-,1.153268965517241
1999,2,CC,40.65058333333333
1999,2,CCC,-6.659536363636364
1999,2,CCC+,44.2364
1999,2,CCC-,5.2632
1999,2,D,-2.8143533333333326
1999,3,A,7.728864327485376
1999,3,A+,6.532934166666668
1999,3,A-,7.634183116883115
1999,3,AA,4.029848717948719
1999,3,AA+,10.025515384615385
1999,3,AA-,5.819571428571428
1999,3,AAA,1.218504
1999,3,B,15.27176770833333
1999,3,B+,12.074121164021161
1999,3,B-,9.604945714285714
1999,3,BB,13.87860305343511
1999,3,BB+,15.783884347826087
1999,3,BB-,10.36519831460674
1999,3,BBB,11.309108173076917
1999,3,BBB+,9.070215789473684
1999,3,BBB-,10.706402325581395
1999,3,CC,80.24367142857145
1999,3,CCC,3.8848700000000007
1999,3,CCC+,28.140552631578952
1999,3,D,35.98320588235294
1999,4,A,-0.7148736842105264
1999,4,A+,-1.0330833333333334
1999,4,A-,0.26705333333333303
1999,4,AA,-4.134639024390243
1999,4,AA+,1.2589923076923077
1999,4,AA-,-1.5906779220779224
1999,4,AAA,-3.7760000000000007
1999,4,B,-0.8856010416666669
1999,4,B+,2.9638951612903224
1999,4,B-,-0.7124566666666671
1999,4,BB,0.9670308823529418
1999,4,BB+,1.466488983050847
1999,4,BB-,4.258307103825137
1999,4,BBB,-0.05016600985221656
1999,4,BBB+,0.4822040609137056
1999,4,BBB-,1.8561175438596493
1999,4,CC,-3.5733999999999995
1999,4,CCC,-4.935524999999999
1999,4,CCC+,-7.68497619047619
1999,4,CCC-,41.45706666666666
1999,4,D,4.93228125
1999,4,SD,-8.3333
1999,5,A,3.3303325581395358
1999,5,A+,2.8487239669421487
1999,5,A-,2.169734868421053
1999,5,AA,0.7372121951219514
1999,5,AA+,4.741430769230769
1999,5,AA-,1.0428797468354432
1999,5,AAA,3.0534875000000006
1999,5,B,3.3634881720430094
1999,5,B+,6.034042328042329
1999,5,B-,-5.887983870967741
1999,5,BB,4.888702985074629
1999,5,BB+,2.4768983739837402
1999,5,BB-,6.554283243243242
1999,5,BBB,2.400791346153846
1999,5,BBB+,3.8746442105263172
1999,5,BBB-,3.792910650887577
1999,5,CC,6.72707
1999,5,CCC,-3.029266666666668
1999,5,CCC+,-1.4533714285714285
1999,5,CCC-,-32.6923
1999,5,D,-13.494989999999998
1999,5,SD,-4.5455
1999,6,A,-2.066208938547486
1999,6,A+,-1.6116611570247934
1999,6,A-,-1.1306482993197275
1999,6,AA,2.7324738095238086
1999,6,AA+,-2.439776923076923
1999,6,AA-,-0.9025740259740267
1999,6,AAA,-0.3362500000000001
1999,6,B,1.0094876288659798
1999,6,B+,-1.357355913978494
1999,6,B-,-2.562007142857142
1999,6,BB,-0.260679104477612
1999,6,BB+,-1.0669406504065038
1999,6,BB-,0.21527540983606566
1999,6,BBB,-1.6509898617511525
1999,6,BBB+,-2.502372486772487
1999,6,BBB-,-3.083829239766081
1999,6,CC,-17.06375
1999,6,CCC,5.603658333333333
1999,6,CCC+,-0.9307545454545448
1999,6,CCC-,21.5724
1999,6,D,6.724808333333333
1999,6,SD,-23.8095
1999,7,A,-3.043001123595506
1999,7,A+,-1.992781300813007
1999,7,A-,-2.530699310344828
1999,7,AA,0.18791333333333332
1999,7,AA+,-2.8154583333333334
1999,7,AA-,-2.0519657894736842
1999,7,AAA,-0.4047249999999998
1999,7,B,-1.1540793478260871
1999,7,B+,-1.9712756613756617
1999,7,B-,-11.649413793103447
1999,7,BB,-2.810870802919708
1999,7,BB+,-3.77736611570248
1999,7,BB-,-5.28938453038674
1999,7,BBB,-3.9247719457013583
1999,7,BBB+,-3.0870015789473677
1999,7,BBB-,-4.301748255813953
1999,7,CC,-5.999375000000001
1999,7,CCC,-24.66929
1999,7,CCC+,-8.48805
1999,7,CCC-,27.45765
1999,7,D,-5.169900000000001
1999,7,SD,-31.25
1999,8,A,-3.8665097701149445
1999,8,A+,-3.823954918032787
1999,8,A-,-4.281213286713285
1999,8,AA,-1.345476744186047
1999,8,AA+,1.7200583333333335
1999,8,AA-,-3.311494805194805
1999,8,AAA,-2.6642333333333332
1999,8,B,-4.305975490196076
1999,8,B+,-1.052458563535912
1999,8,B-,-10.150343333333332
1999,8,BB,-1.8149679104477623
1999,8,BB+,-3.9588226086956517
1999,8,BB-,-1.0031681564245802
1999,8,BBB,-2.729289545454546
1999,8,BBB+,-3.8386502617801046
1999,8,BBB-,-2.8694672316384175
1999,8,CC,-37.656650000000006
1999,8,CCC,-5.522954545454542
1999,8,CCC+,-4.542028571428572
1999,8,CCC-,-35.7
1999,8,D,-6.707693750000001
1999,8,SD,-27.2727
1999,9,A,3.624708620689654
1999,9,A+,4.518918333333336
1999,9,A-,0.14726241134751786
1999,9,AA,5.261518604651163
1999,9,AA+,4.164336363636363
1999,9,AA-,3.3978714285714293
1999,9,AAA,8.44775
1999,9,B,0.39561111111111014
1999,9,B+,-3.731397765363128
1999,9,B-,1.0398281250000003
1999,9,BB,-3.494553383458646
1999,9,BB+,-1.1817829059829057
1999,9,BB-,-2.9456700534759372
1999,9,BBB,-3.0020233944954122
1999,9,BBB+,0.5205898936170213
1999,9,BBB-,-1.3696606557377051
1999,9,CC,-10.409699999999999
1999,9,CCC,-29.11168888888889
1999,9,CCC+,-1.2552380952380953
1999,9,CCC-,-15.788920000000001
1999,9,D,-1.9669999999999999
1999,9,SD,-18.75
1999,10,A,-0.8637474576271182
1999,10,A+,-1.3433243697479
1999,10,A-,0.4220581560283689
1999,10,AA,-0.18997441860465092
1999,10,AA+,7.412409090909091
1999,10,AA-,1.269148051948052
1999,10,AAA,-3.7184749999999998
1999,10,B,8.943780392156865
1999,10,B+,3.9404547486033534
1999,10,B-,11.925840625
1999,10,BB,1.471150746268657
1999,10,BB+,1.9766591304347823
1999,10,BB-,4.539017204301075
1999,10,BBB,1.0432111607142862
1999,10,BBB+,0.08335775401069512
1999,10,BBB-,-0.32516721311475416
1999,10,CC,15.28442
1999,10,CCC,9.753271428571429
1999,10,CCC+,4.903484210526316
1999,10,CCC-,-1.7052500000000006
1999,10,D,-3.8635884615384617
1999,10,SD,23.0769
1999,11,A,0.8336187500000001
1999,11,A+,1.9354735537190093
1999,11,A-,0.3765134751773046
1999,11,AA,2.199490476190476
1999,11,AA+,4.4084200000000004
1999,11,AA-,3.5369948717948714
1999,11,AAA,-0.8007440000000001
1999,11,B,8.83953333333333
1999,11,B+,6.220041242937853
1999,11,B-,9.044599999999999
1999,11,BB,4.49514375
1999,11,BB+,6.042206034482761
1999,11,BB-,6.963604278074864
1999,11,BBB,2.804779723502305
1999,11,BBB+,3.6268703703703724
1999,11,BBB-,3.463176111111112
1999,11,CC,24.089299999999998
1999,11,CCC,18.094336363636362
1999,11,CCC+,-4.46875652173913
1999,11,CCC-,-53.717625000000005
1999,11,D,-12.74871111111111
1999,11,SD,-37.5
1999,12,A,-3.794241176470588
1999,12,A+,-3.6725836065573754
1999,12,A-,27.818143448275872
1999,12,AA,-2.847519512195122
1999,12,AA+,-7.6161375
1999,12,AA-,-4.63969605263158
1999,12,AAA,-4.955127999999999
1999,12,B,2.55259405940594
1999,12,B+,-1.2102842696629212
1999,12,B-,6.053354545454547
1999,12,BB,-6.626307142857142
1999,12,BB+,-4.928618803418809
1999,12,BB-,-1.7641107526881714
1999,12,BBB,-4.492874074074073
1999,12,BBB+,-3.1897291891891895
1999,12,BBB-,-3.9036092896174868
1999,12,CC,-1.1234799999999996
1999,12,CCC,9.164618181818183
1999,12,CCC+,18.479040909090912
1999,12,CCC-,-1.7857
1999,12,D,40.6178
1999,12,SD,80.0
2000,1,A,-5.698437500000002
2000,1,A+,-3.792946341463413
2000,1,A-,1.7492394366197155
2000,1,AA,-3.244167500000001
2000,1,AA+,-13.27501111111111
2000,1,AA-,-2.8137786666666655
2000,1,AAA,-8.656888000000002
2000,1,B,17.621544444444442
2000,1,B+,0.8133950276243092
2000,1,B-,16.763160606060605
2000,1,BB,-0.7769767441860462
2000,1,BB+,-2.659033057851241
2000,1,BB-,2.0001922651933692
2000,1,BBB,-4.088783105022832
2000,1,BBB+,-3.847458730158731
2000,1,BBB-,-4.221321229050279
2000,1,CC,-13.0555
2000,1,CCC,11.668850000000003
2000,1,CCC+,7.7177
2000,1,CCC-,30.55555
2000,1,D,31.505190624999997
2000,1,SD,-11.1111
2000,2,A,10.907972189349112
2000,2,A+,7.290368852459013
2000,2,A-,9.483872262773723
2000,2,AA,7.316372727272727
2000,2,AA+,18.5701
2000,2,AA-,9.873054666666663
2000,2,AAA,11.307656
2000,2,B,-4.813462244897958
2000,2,B+,0.5235386740331492
2000,2,B-,-9.46698292682927
2000,2,BB,5.711290151515149
2000,2,BB+,8.287690551181102
2000,2,BB-,3.7511519337016552
2000,2,BBB,7.890895454545454
2000,2,BBB+,10.046016580310878
2000,2,BBB-,7.754651136363634
2000,2,CC,2.9472833333333326
2000,2,CCC,0.8128750000000005
2000,2,CCC+,-6.557865217391305
2000,2,CCC-,-6.236549999999999
2000,2,D,11.347065624999999
2000,2,SD,-12.5
2000,3,A,2.549879141104295
2000,3,A+,-1.3068294573643409
2000,3,A-,0.21064850746268704
2000,3,AA,-1.4409487804878047
2000,3,AA+,-7.49845
2000,3,AA-,-2.189077631578948
2000,3,AAA,2.600976
2000,3,B,-8.679588043478262
2000,3,B+,-7.350210000000004
2000,3,B-,-15.825514285714286
2000,3,BB,0.897071538461538
2000,3,BB+,-1.1038206349206339
2000,3,BB-,-1.374058791208791
2000,3,BBB,2.550966666666666
2000,3,BBB+,0.33470612244897946
2000,3,BBB-,3.700438333333334
2000,3,CC,-16.3355875
2000,3,CCC,6.51248888888889
2000,3,CCC+,-26.818840909090905
2000,3,CCC-,-43.5
2000,3,D,-27.376790624999995
2000,3,SD,-7.1429
2000,4,A,1.5979509202453985
2000,4,A+,2.0604320312499986
2000,4,A-,3.405451515151514
2000,4,AA,4.176497297297297
2000,4,AA+,-2.8953666666666664
2000,4,AA-,1.4575362500000004
2000,4,AAA,5.701335999999999
